directorId,firstName,lastName,directorName,pilotId
16,David,Shaw,David Shaw,C1111803
338,Michael,O'Neill,Michael O'Neill,A4337687
522,John,Mack,John Mack,C1127637
523,Gerald,Clark,Gerald Clark,A4271979
992,David,Stout,David Stout,A4941794
1122,Gary,Wilson,Gary Wilson,A4767283
1392,Paul,Walsh,Paul Walsh,A4742640
1564,Ian,Strachan,Ian Strachan,C1146516
1723,James,Barksdale,Jim Barksdale,C1042792
2011,John,Walls,John Walls,A3992259
2095,Charles,Knight,Chuck Knight,C1048459
2443,Thomas,Parker,Sir John Parker,A5350252
2445,Claudio Xavier,Gonz�lez Laporte,Claudio Xavier Gonz�lez Laporte,undefined
2849,John,Young,John Young,C1103835
3306,Michael,Potter,Mike Potter,C1126982
3345,Brian,Long,Brian Long,C1131472
3420,Michael,Buckley,Michael Buckley,A5361426
3629,John,King,Doctor John King,C1153139
3637,Bruce,Carter,Doctor Bruce Carter,A4691493
3650,John,Bates,John Bates,C1076603
3706,John,McConnell,John McConnell,C1085935
3772,Robert,Larson,Robert Larson,C1030544
4028,James,Thompson,Governor Jim Thompson Jr,C1153271
4083,John,Morgan,John Morgan,C1161152
4155,Robert,O'Leary,Rob O'Leary,A2731993
4355,John,Caldwell,John Caldwell,C1146651
4363,Thomas,Oliver,Thomas Oliver,A5202329
4428,William,Watts,Bill Watts,A5162797
4794,David,Bartlett,David Bartlett,A2738879
4860,Richard,Smith,Rick Smith,C1059399
5304,Charles,Brady,Charles Brady,A4993899
5313,David,Benson,David Benson,C1112565
5398,Timothy,Bryan,Tim Bryan,A0240277
5411,John,Quinn,John Quinn,C1163991
5815,Ana Patricia,Botin-Sanz De Sautuola y O'Shea,Ana Patricia Botin-Sanz De Sautuola y O'Shea,undefined
6132,Alan,Miller,Alan Miller,C1033054
6215,Jeffrey,Ward,Jeffrey Ward,C1136623
6588,Thomas,Corcoran,E Corcoran,C1121767
6816,Charles,Bauer,Ted Bauer,A0107069
6845,James,Ross,James Ross,A5275507
6846,John,Rose,Sir John Rose,A5142125
6954,John,Bond,Sir John Bond,A2473148
7574,Robert,Pittman,Bob Pittman,C1116251
7576,James,Kimsey,Jim Kimsey,A4758543
7588,Harold,Hughes,Harold Hughes Jr,C1056089
7761,Jonathan,Leslie,Jonathan Leslie,A5200683
7818,Colin,Powell,General Colin Powell,C1103256
8058,Robert,Wiseman,Robert Wiseman,A2087084
8139,David,Philipp,David Philipp,A4882606
8472,Richard,Parsons,Dick Parsons,C1110956
8562,David,Nichols,David Nichols,A5281330
8661,John,Bryan,John Bryan Jr,A5135820
8750,Keith,Bradley,Doctor Keith Bradley,A4058718
8813,John,Keenan,Jack Keenan,A0992800
8818,John,McArthur,Professor  Dr John McArthur,A4348139
8887,John,Brock,John Brock III,A2424229
8895,Robert,McCullough,Robert McCullough,C1051869
9000,Howard,Newman,Doctor Howard Newman,A2558470
9005,Richard,Booth,Richard Booth,A2356518
9037,Robert,Stack,Professor Bob Stack,A1808801
9433,Robert,Graham,Bob Graham,C1111950
